,종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액,EPS,PER,BPS,PBR,주당배당금,배당수익률
354,084680,이월드,KOSPI,서비스업,3150,-40,-1.25,324890675550,27.0,116.67,2729.0,1.15,0,0.0
355,136490,선진,KOSPI,음식료품,13600,-550,-3.89,323402614400,899.0,15.13,13439.0,1.01,50,0.37
356,004710,한솔테크닉스,KOSPI,전기전자,10050,-50,-0.5,322704273900,245.0,41.02,8145.0,1.23,0,0.0
357,023800,인지컨트롤스,KOSPI,운수장비,21150,2500,13.4,320636707200,,,11832.0,1.79,100,0.47
358,095720,웅진씽크빅,KOSPI,서비스업,2720,-15,-0.55,319332330240,,,3510.0,0.77,310,11.4
359,001390,KG케미칼,KOSPI,화학,24450,-250,-1.01,318173522400,7691.0,3.18,26210.0,0.93,350,1.43
360,104700,한국철강,KOSPI,철강금속,6900,10,0.15,317745000000,415.0,16.63,15742.0,0.44,200,2.9
361,183190,아세아시멘트,KOSPI,비금속광물,81500,-300,-0.37,317508433500,7159.0,11.38,204892.0,0.4,1500,1.84
362,007690,국도화학,KOSPI,화학,54500,-1000,-1.8,316678572000,6219.0,8.76,88911.0,0.61,1500,2.75
363,005960,동부건설,KOSPI,건설업,13900,-100,-0.71,315558133600,2814.0,4.94,19059.0,0.73,700,5.04
364,058650,세아홀딩스,KOSPI,철강금속,78700,300,0.38,314800000000,7707.0,10.21,491403.0,0.16,2250,2.86
365,037270,YG PLUS,KOSPI,서비스업,5260,340,6.91,312949196700,,,1562.0,3.37,0,0.0
366,003300,한일홀딩스,KOSPI,비금속광물,10850,50,0.46,312651213000,461.0,23.54,33397.0,0.32,460,4.24
367,016580,환인제약,KOSPI,의약품,16750,150,0.9,311551172500,1225.0,13.67,14719.0,1.14,300,1.79
368,019680,대교,KOSPI,서비스업,3640,-20,-0.55,308318374000,190.0,19.16,5848.0,0.62,170,4.67
369,002020,코오롱,KOSPI,기타금융,24000,1200,5.26,303034224000,,,43841.0,0.55,500,2.08
