,종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
277,003495,대한항공우,KOSPI,운수창고업,40050,-200,-0.5,44487299700
278,005880,대한해운,KOSPI,운수창고업,2840,-15,-0.53,906463986400
279,003830,대한화섬,KOSPI,화학,136500,0,0.0,181272000000
280,016090,대현,KOSPI,섬유의복,2930,-105,-3.46,129747168300
281,069460,대호에이엘,KOSPI,철강금속,3835,-100,-2.54,187905397160
282,192080,더블유게임즈,KOSPI,서비스업,64100,-1800,-2.73,1177805578200
283,012510,더존비즈온,KOSPI,서비스업,80400,-6600,-7.59,2442775833600
284,004830,덕성,KOSPI,화학,18000,850,4.96,282240000000
285,004835,덕성우,KOSPI,화학,23300,500,2.19,32433600000
286,024900,덕양산업,KOSPI,운수장비,3455,60,1.77,112512005900
287,145720,덴티움,KOSPI,의료정밀,69800,-1300,-1.83,772604334000
288,002150,도화엔지니어링,KOSPI,서비스업,7950,-90,-1.12,268074000000
289,001230,동국제강,KOSPI,철강금속,17200,-650,-3.64,1641443076400
290,023450,동남합성,KOSPI,화학,64700,-200,-0.31,233567000000
291,004140,동방,KOSPI,운수창고업,4055,-55,-1.34,162085511130
292,007590,동방아그로,KOSPI,화학,7410,-80,-1.07,100906245570
293,005960,동부건설,KOSPI,건설업,15250,0,0.0,346658867250
294,005965,동부건설우,KOSPI,건설업,38450,450,1.18,8679395400
295,026960,동서,KOSPI,유통업,35200,-950,-2.63,3509440000000
296,002210,동성제약,KOSPI,의약품,9000,-30,-0.33,234908730000
297,102260,동성케미컬,KOSPI,서비스업,5780,-50,-0.86,287206627840
298,000640,동아쏘시오홀딩스,KOSPI,기타금융,107000,-1000,-0.93,679183142000
299,170900,동아에스티,KOSPI,의약품,72900,0,0.0,615578316300
300,028100,동아지질,KOSPI,건설업,18600,-200,-1.06,213900000000
301,282690,동아타이어,KOSPI,화학,13200,200,1.54,181275798000
302,001520,동양,KOSPI,비금속광물,1610,35,2.22,384281341430
303,001527,동양2우B,KOSPI,비금속광물,14800,150,1.02,4566821200
